구,동,X,Y,age_score,population_score,cost_score,subway_score,bus_score,car_score,store_score
종로구,사직동,126.9704,37.57389,0.5765,0.166,0.5465,0.2857,0.3077,0.0943,0.1075
종로구,삼청동,126.9812,37.58837,0.7647,0.0401,0.2524,0.0,0.0989,0.0901,0.0339
종로구,부암동,126.9635,37.59696,0.5941,0.167,0.2909,0.0,0.5714,0.1552,0.0142
종로구,평창동,126.9681,37.61569,0.5824,0.3174,0.4519,0.0,0.3516,0.4225,0.0152
종로구,무악동,126.9586,37.57711,0.4824,0.1398,0.5707,0.0,0.0989,0.0167,0.0015
종로구,교남동,126.9641,37.57107,0.4353,0.1749,0.4731,0.0,0.5385,0.0479,0.0055
종로구,가회동,126.9865,37.58251,0.6588,0.0659,0.2594,0.0,0.3187,0.1175,0.0272
종로구,종로1·2·3·4가동,126.9899,37.57519,0.7882,0.1566,0.2153,0.7143,0.4286,0.243,0.3001
종로구,종로5·6가동,127.0044,37.57286,0.5647,0.1035,0.0812,0.2857,0.2527,0.1831,0.0767
종로구,이화동,127.003,37.57972,0.5059,0.1379,0.174,0.1429,0.2857,0.1183,0.0339
종로구,창신1동,127.0138,37.57237,0.8706,0.0969,0.0553,0.2857,0.1319,0.0589,0.1068
종로구,창신2동,127.0102,37.57603,0.8471,0.1532,0.0026,0.0,0.011,0.0544,0.014
종로구,창신3동,127.0132,37.57895,0.6235,0.1145,0.1704,0.1429,0.1099,0.0096,0.0021
종로구,숭인1동,127.0169,37.57718,0.7,0.1088,0.1446,0.1429,0.0659,0.0229,0.0061
종로구,숭인2동,127.0203,37.57449,0.4529,0.2087,0.0955,0.0,0.2088,0.1136,0.0344
종로구,청운효자동,126.9699,37.58441,0.5176,0.2022,0.3159,0.0,0.2308,0.1743,0.0404
종로구,혜화동,126.9974,37.58747,0.3471,0.3496,0.2319,0.0,0.4066,0.2133,0.0676
중구,소공동,126.9744,37.56426,0.3529,0.0605,0.6165,0.4286,0.4396,0.0383,0.1364
중구,회현동,126.9771,37.55694,0.8765,0.0867,0.4403,0.8571,0.3846,0.0492,0.3013
중구,명동,126.9843,37.56395,0.8235,0.0592,0.3071,0.1429,0.4505,0.0763,0.1742
중구,필동,126.9938,37.55687,0.5176,0.0917,0.1755,0.2857,0.0989,0.1003,0.0482
중구,장충동,127.0022,37.55556,0.3941,0.098,0.1495,0.1429,0.0769,0.0834,0.0223
중구,광희동,127.0038,37.56516,0.5176,0.1283,0.2124,0.4286,0.2527,0.0745,0.3064
중구,을지로동,126.9966,37.56662,0.4235,0.0588,0.1848,0.5714,0.3187,0.0354,0.1275
중구,신당5동,127.0219,37.56363,0.5529,0.1881,0.1745,0.1429,0.1429,0.0753,0.0376
중구,황학동,127.0208,37.56854,0.4118,0.256,0.2158,0.0,0.1209,0.092,0.0424
중구,중림동,126.966,37.55735,0.4647,0.2252,0.4391,0.0,0.3626,0.0323,0.0239
중구,신당동,127.0137,37.56569,0.6235,0.161,0.1349,0.2857,0.1648,0.1039,1.0
중구,다산동,127.0084,37.55494,0.6353,0.2471,0.1091,0.2857,0.0989,0.1769,0.0322
중구,약수동,127.0103,37.55015,0.7176,0.2933,0.3374,0.2857,0.2967,0.0573,0.0183
중구,청구동,127.0152,37.55688,0.6412,0.2006,0.2757,0.0,0.0879,0.0623,0.0138
중구,동화동,127.0187,37.56071,0.6118,0.1806,0.286,0.0,0.0659,0.0649,0.0222
용산구,후암동,126.9806,37.54991,0.5353,0.2963,0.1718,0.0,0.2967,0.1948,0.0251
용산구,용산2가동,126.9851,37.53791,0.6471,0.1801,0.0829,0.1429,0.1648,0.105,0.0305
용산구,남영동,126.9748,37.54403,0.8176,0.1344,0.2037,0.5714,0.2418,0.0664,0.0605
용산구,원효로2동,126.9525,37.53385,0.4824,0.2479,0.3228,0.0,0.2637,0.0789,0.0109
용산구,효창동,126.9609,37.54281,0.3882,0.1919,0.2676,0.0,0.1209,0.081,0.0045
용산구,용문동,126.9585,37.53798,0.5412,0.2044,0.2762,0.2857,0.4615,0.0857,0.0141
용산구,이촌1동,126.9718,37.51517,0.4235,0.4692,0.7281,0.0,0.1978,0.0195,0.0203
용산구,이촌2동,126.9542,37.52286,0.6471,0.1402,0.2813,0.0,0.1209,0.0151,0.0025
용산구,이태원1동,126.9932,37.53336,0.6706,0.1342,0.2976,0.1429,0.2637,0.1125,0.0962
